# "Top 500 'Greatest' Novels (1021-2015)" [https://www.responsible-datasets-in-context.com/posts/top-500-novels/top-500-novels.html] by "Responsible Datasets in Context" [https://www.responsible-datasets-in-context.com/team.html], used under CC BY 4.0 [http://creativecommons.org/licenses/by/4.0/] / Some columns deleted
top_500_rank,title,author,pub_year,orig_lang,genre,author_field_of_activity,author_occupation,wiki_url,pg_eng_url
56,The Red Badge of Courage,Stephen Crane,1895,English,history,,,https://en.wikipedia.org/wiki/The_Red_Badge_of_Courage,https://www.gutenberg.org/cache/epub/73/pg73.txt
57,Anne of Green Gables,L.M. Montgomery,1908,English,na,"novels,fiction,childrens stories","novelists,authors",https://en.wikipedia.org/wiki/Anne_of_Green_Gables,https://www.gutenberg.org/cache/epub/45/pg45.txt
58,Black Beauty,Anna Sewell,1877,English,na,,novelists,https://en.wikipedia.org/wiki/Black_Beauty,https://www.gutenberg.org/cache/epub/271/pg271.txt
59,Peter Pan,J.M. Barrie,1911,English,fantasy,,"novelist,dramatist,author",https://en.wikipedia.org/wiki/Peter_and_Wendy,https://www.gutenberg.org/cache/epub/16/pg16.txt
60,A Farewell to Arms,Ernest Hemingway,1929,English,war,"short stories,novels,journalism,fiction","novelists,journalists",https://en.wikipedia.org/wiki/A_Farewell_to_Arms,NA_not-pub-domain
61,The House of the Seven Gables,Nathaniel Hawthorne,1851,English,na,,"novelists,authors",https://en.wikipedia.org/wiki/The_House_of_the_Seven_Gables,https://www.gutenberg.org/cache/epub/77/pg77.txt
62,Lord of the Flies,William Golding,1954,English,na,,"poets,novelists,dramatists",https://en.wikipedia.org/wiki/Lord_of_the_Flies,NA_not-pub-domain
63,The Prince and the Pauper,Mark Twain,1881,English,history,"wit and humor,literature,humor","lecturers,humorists,authors",https://en.wikipedia.org/wiki/The_Prince_and_the_Pauper,https://www.gutenberg.org/cache/epub/1837/pg1837.txt
64,A Portrait of the Artist as a Young Man,James Joyce,1916,English,bildung,"short stories,novels",novelists,https://en.wikipedia.org/wiki/A_Portrait_of_the_Artist_as_a_Young_Man,https://www.gutenberg.org/cache/epub/4217/pg4217.txt
65,Lord Jim,Joseph Conrad,1900,English,na,english literature,novelists,https://en.wikipedia.org/wiki/Lord_Jim,https://www.gutenberg.org/cache/epub/5658/pg5658.txt
66,Harry Potter and the Chamber of Secrets,J.K. Rowling,1998,English,fantasy,"young adult fiction,young adult fantasy,fantasy fiction,fantasy,novels","novelists,authors,writers",https://en.wikipedia.org/wiki/Harry_Potter_and_the_Chamber_of_Secrets,NA_not-pub-domain
67,The Red & the Black,Stendhal,1830,French,bildung,,authors,https://en.wikipedia.org/wiki/The_Red_and_the_Black,https://www.gutenberg.org/cache/epub/44747/pg44747.txt
68,The Stranger,Albert Camus,1942,French,na,existentialism,"philosophers,journalists,authors",https://en.wikipedia.org/wiki/The_Stranger_(Camus_novel),NA_not-pub-domain
69,The Trial,Franz Kafka,1925,German,allegories,"fiction,drawing","novelists,insurance companies employees",https://en.wikipedia.org/wiki/The_Trial,https://www.gutenberg.org/cache/epub/7849/pg7849.txt
70,Lady Chatterley's Lover,D.H. Lawrence,1928,English,na,english literature,"poets,novelists,dramatists",https://en.wikipedia.org/wiki/Lady_Chatterley%27s_Lover,NA_unavailable
71,Kidnapped: The Adventures of David Balfour,Robert Louis Stevenson,1886,English,history,,"travel writers,poets,novelists",https://en.wikipedia.org/wiki/Kidnapped_(novel),https://www.gutenberg.org/cache/epub/421/pg421.txt
72,The Catcher in the Rye,J.D. Salinger,1951,English,bildung,,novelists american,https://en.wikipedia.org/wiki/The_Catcher_in_the_Rye,NA_not-pub-domain
73,Fahrenheit 451,Ray Bradbury,1953,English,scifi,"science fiction,literature",author,https://en.wikipedia.org/wiki/Fahrenheit_451,NA_not-pub-domain
74,A Journey to the Center of the Earth,Jules Verne,1864,French,scifi,"drama,voyages imaginary,science fiction,poetry,novels,action and adventure fiction","poets,novelists,authors french,playwrights",https://en.wikipedia.org/wiki/Journey_to_the_Center_of_the_Earth,https://www.gutenberg.org/cache/epub/18857/pg18857.txt
75,Vanity Fair,William Makepeace Thackeray,1848,English,na,,"novelists,illustrators,authors",https://en.wikipedia.org/wiki/Vanity_Fair_(novel),https://www.gutenberg.org/cache/epub/599/pg599.txt
76,All Quiet on the Western Front,Erich Maria Remarque,1929,German,war,,"novelists,authors german",https://en.wikipedia.org/wiki/All_Quiet_on_the_Western_Front,NA_not-pub-domain
77,Gone with the Wind,Margaret Mitchell,1936,English,history,,"journalists,authors",https://en.wikipedia.org/wiki/Gone_with_the_Wind_(novel),NA_not-pub-domain
78,My Ántonia,Willa Cather,1918,English,na,,,https://en.wikipedia.org/wiki/My_%C3%81ntonia,https://www.gutenberg.org/cache/epub/242/pg242.txt
79,Of Mice and Men,John Steinbeck,1937,English,na,literature,authors,https://en.wikipedia.org/wiki/Of_Mice_and_Men,NA_not-pub-domain
80,The Vicar of Wakefield,Oliver Goldsmith,1766,English,na,,"poets,novelists,playwrights",https://en.wikipedia.org/wiki/The_Vicar_of_Wakefield,https://www.gutenberg.org/cache/epub/2667/pg2667.txt
81,A Connecticut Yankee in King Arthur's Court,Mark Twain,1889,English,fantasy,"wit and humor,literature,humor","lecturers,humorists,authors",https://en.wikipedia.org/wiki/A_Connecticut_Yankee_in_King_Arthur%27s_Court,https://www.gutenberg.org/cache/epub/86/pg86.txt
82,White Fang,Jack London,1906,English,action,,"novelists american,authors american",https://en.wikipedia.org/wiki/White_Fang,https://www.gutenberg.org/cache/epub/910/pg910.txt
83,Fathers and Sons,Ivan Sergeevich Turgenev,1862,Russian,na,,authors russian,https://en.wikipedia.org/wiki/Fathers_and_Sons_(novel),https://www.gutenberg.org/cache/epub/47935/pg47935.txt
84,Doctor Zhivago,Boris Leonidovich Pasternak,1957,Russian,history,,authors russian,https://en.wikipedia.org/wiki/Doctor_Zhivago_(novel),NA_not-pub-domain
85,The Decameron,Giovanni Boccaccio,1351,Italian,na,,"poets,humanists,authors",https://en.wikipedia.org/wiki/The_Decameron,https://www.gutenberg.org/cache/epub/23700/pg23700.txt
